model,sentences,bleu_cased,bleu_uncased,chrfpp_cased,chrfpp_uncased,mean_sentence_chrfpp_uncased,token_edit_rate_percent,raw_exact_match_percent,normalized_exact_match_percent,average_reference_tokens,average_hypothesis_tokens,length_ratio,empty_outputs
TensorFlow NMT,1268,20.398353284156304,21.024404306870537,38.549504923533206,39.10792887681167,40.699444319412265,66.55108106533015,0.5520504731861199,0.5520504731861199,27.06466876971609,25.498422712933753,0.9421294947257999,0
PyTorch Transformer,1268,24.780070287597482,27.85676906468354,44.07443108724069,46.35443068262049,48.19060293344271,58.622297336674634,0.0,0.0,27.06466876971609,25.902996845425868,0.9570779182936069,0
